QB1,QB31,QB4,QB7,QFV1,QFV2,HB1,HB31,HB7,HFV1,HFV2,3dHB1,3dHB31,3dHB7,3dHFV1,3dHFV2,1sHB1,1sHB31,1sHB7,1sHFV1,1sHFV2
16,5,14,9,13,7,808.04,779.52,783.34,775.99,779.41,807.99,779.47,776.84,775.89,776.56,807.99,779.37,776.94,775.94,776.71
16,5,14,9,13,7,807.99,779.57,777.34,775.99,777.61,807.99,779.47,776.84,775.89,776.56,807.99,779.42,776.94,775.89,776.61
16,5,14,9,13,7,807.99,779.62,777.24,775.99,777.51,807.99,779.47,776.84,775.89,776.56,807.99,779.37,776.89,775.89,776.61
16,5,14,9,13,7,807.79,779.47,777.04,775.89,777.41,808.04,779.52,783.34,775.99,779.41,807.99,779.47,776.84,775.89,776.61
16,5,14,9,13,7,807.79,779.47,777.34,775.89,776.36,807.99,779.57,777.34,775.99,777.61,807.99,779.47,776.84,775.89,776.56
15,5,12,9,12,7,807.99,779.67,777.84,775.79,777.81,807.99,779.62,777.24,775.99,777.51,807.99,779.47,776.84,775.89,776.56
15,5,12,9,12,7,807.99,779.67,777.84,775.79,777.81,807.79,779.47,777.04,775.89,777.41,807.99,779.47,776.84,775.89,776.56
15,5,12,9,12,7,807.99,779.67,777.84,775.79,777.81,807.79,779.47,777.34,775.89,776.36,808.04,779.52,783.34,775.99,779.41
15.12,5,12.25,5,13,4,807.98,779.64,784.84,776.99,781.71,807.99,779.67,777.84,775.79,777.81,807.99,779.57,777.34,775.99,777.61
15.25,5,12.5,5,13,4,807.97,779.61,784.84,776.99,781.71,807.99,779.67,777.84,775.79,777.81,807.99,779.62,777.24,775.99,777.51
15.38,5,12.75,5,13,4,807.95,779.58,784.84,776.99,781.71,807.99,779.67,777.84,775.79,777.81,807.79,779.47,777.04,775.89,777.41
15.5,5,13,5,13,5,807.94,779.54,784.84,776.99,781.71,807.98,779.64,784.84,776.99,781.71,807.79,779.47,777.34,775.89,776.36
15.62,5,13.25,10.9,12.6,4,807.93,779.51,784.84,776.99,781.71,807.97,779.61,784.84,776.99,781.71,807.99,779.67,777.84,775.79,777.81
15.75,5,13.5,5,13,4,807.91,779.48,784.84,776.99,781.71,807.95,779.58,784.84,776.99,781.71,807.99,779.67,777.84,775.79,777.81
15.88,5,13.75,5,13,4,807.9,779.45,784.84,776.99,781.71,807.94,779.54,784.84,776.99,781.71,807.99,779.67,777.84,775.79,777.81
16,5,14,5,13,4,807.89,779.42,781.54,776.89,778.71,807.93,779.51,784.84,776.99,781.71,807.98,779.64,784.84,776.99,781.71
